411 2.26377 0.377361
411 2.26377 0.451299
411 2.26377 0.406866
411 2.26377 0.329968
411 2.26377 0.433208

411 2.26377 0.726164
411 2.26377 0.730522
411 2.26377 0.291612
411 2.26377 0.282983
411 2.26377 0.38391

411 2.26377 1.50535
411 2.26377 0.318252
411 2.26377 0.281825
411 2.26377 0.291695
411 2.26377 0.391846

411 2.26377 1.56114
411 2.26377 0.283545
411 2.26377 0.20549
411 2.26377 0.289667
411 2.26377 0.429183
411 2.26377 0.227035 2
411 2.26377 0.347287 2
411 2.26377 0.168083 2
411 2.26377 0.1704 2
411 2.26377 0.257785 2
411 2.26377 2.4695 2
411 2.26377 0.700696 2
411 2.26377 0.409281 2
411 2.26377 0.739055 2
411 2.26377 0.96098 2
411 2.26377 2.87743 2
411 2.26377 2.33582 1
411 2.26377 0.257907 1
411 2.26377 0.474268 34
411 2.26377 0.740656 68
411 2.26377 1.06739 136
411 2.26377 2.57852 272
411 2.26377 1.26103 1
411 2.26377 0.716943 1
411 2.26377 0.375522 34
411 2.26377 0.634595 68
411 2.26377 1.04403 136
411 2.26377 2.29915 272

411 2.26377 0.340243 1
411 2.26377 0.399746 1
411 2.26377 0.977557 34
411 2.26377 0.600532 68
411 2.26377 1.06663 136
411 2.26377 2.47873 272

411 2.26377 0.327024 1
411 2.26377 0.504597 1
411 2.26377 0.576081 34
411 2.26377 0.610558 68
411 2.26377 1.02745 136
411 2.26377 2.46699 272

411 2.26377 2.55471 1
411 2.26377 0.306151 1
411 2.26377 0.268476 2
411 2.26377 0.178419 4
411 2.26377 0.258778 8
411 2.26377 0.414996 16

411 2.26377 1.01653 1
411 2.26377 0.722899 1
411 2.26377 0.199706 2
411 2.26377 0.332179 4
411 2.26377 0.331502 8
411 2.26377 0.318204 16

411 2.26377 0.374472 1
411 2.26377 0.98432 1
411 2.26377 0.185485 2
411 2.26377 0.514802 4
411 2.26377 0.497638 8
411 2.26377 0.407854 16

411 2.26377 0.662848 1
411 2.26377 0.538877 1
411 2.26377 0.409447 2
411 2.26377 0.270562 4
411 2.26377 0.282582 8
411 2.26377 0.273345 16
======================

411 2.26377 3.30949 1
411 2.26377 0.273178 1
411 2.26377 0.173715 2
411 2.26377 0.317423 4
411 2.26377 0.217533 8
411 2.26377 0.209546 16
411 2.26377 0.416102 32

411 2.26377 0.530577 1
411 2.26377 0.568732 1
411 2.26377 0.316972 2
411 2.26377 0.236266 4
411 2.26377 0.430006 8
411 2.26377 0.233049 16
411 2.26377 0.312255 32

411 2.26377 1.33017 1
411 2.26377 0.365042 1
411 2.26377 0.185724 2
411 2.26377 0.281962 4
411 2.26377 0.27481 8
411 2.26377 0.399551 16
411 2.26377 0.406074 32

411 2.26377 0.703962 1
411 2.26377 1.02026 1
411 2.26377 0.277075 2
411 2.26377 0.35229 4
411 2.26377 0.31639 8
411 2.26377 0.318482 16
411 2.26377 0.391101 32

411 2.26377 0.235761 1
411 2.26377 0.59384 1
411 2.26377 0.618972 2
411 2.26377 0.505881 4
411 2.26377 0.245916 8
411 2.26377 0.259993 16
411 2.26377 0.446562 32
==============================================

411 2.26377 2.69749 1
411 2.26377 0.362372 1
411 2.26377 0.263871 2
411 2.26377 0.26112 4
411 2.26377 0.772995 8
411 2.26377 0.568968 16
411 2.26377 0.437171 32
411 2.26377 1.02695 1
411 2.26377 0.790311 1
411 2.26377 0.285902 2
411 2.26377 0.454103 4
411 2.26377 0.392523 8
411 2.26377 0.336426 16
411 2.26377 0.648361 32
411 2.26377 0.653721 1
411 2.26377 0.343745 1
411 2.26377 1.296 2
411 2.26377 0.342268 4
411 2.26377 0.269985 8
411 2.26377 0.302314 16
411 2.26377 0.607025 32
411 2.26377 1.44851 1
411 2.26377 0.298272 1
411 2.26377 0.188672 2
411 2.26377 0.292776 4
411 2.26377 0.389791 8
411 2.26377 0.544049 16
411 2.26377 0.770642 32
411 2.26377 1.4417 1
411 2.26377 0.287297 1
411 2.26377 0.165979 2
411 2.26377 0.288618 4
411 2.26377 0.260631 8
411 2.26377 0.42927 16
411 2.26377 0.70024 32
